,Collect_DateTime,No,Code,Name,Rem,Last,Done,LACP,Chg,%,Chg,Vol,('00),Buy,Vol,('00)
884,2019-10-13_21-58-08,884,2054,TDM,s,0.170,0.175,-0.005,-2.86,5457,3,0.170,0.175,2394,0.175,0.170
885,2019-10-13_21-58-08,885,7439,TECGUAN,s,1.010,1.030,-0.020,-1.94,400,200,1.010,1.030,30,1.030,1.010
886,2019-10-13_21-58-08,886,5289,TECHBND[S],s,0.700,0.700,-,-,185,180,0.700,0.730,60,0.700,0.700
887,2019-10-13_21-58-08,887,7200,TEKSENG[S],s,0.275,0.270,0.005,+1.85,10299,300,0.275,0.280,251,0.280,0.265
888,2019-10-13_21-58-08,888,7200WA,TEKSENG-WA[S],s,0.045,0.045,-,-,7708,50,0.040,0.045,1100,0.045,0.040
889,2019-10-13_21-58-08,889,5347,TENAGA[S],s,13.880,13.660,0.220,+1.61,16913,375,13.840,13.880,617,13.900,13.620
890,2019-10-13_21-58-08,890,7252,TEOSENG,s,1.170,1.170,-,-,5623,2436,1.160,1.170,1787,1.180,1.160
891,2019-10-13_21-58-08,891,7252WA,TEOSENG-WA,s,0.065,0.065,-,-,700,200,0.065,0.070,810,0.070,0.065
892,2019-10-13_21-58-08,892,8702,TEXCHEM,s,-,0.435,-,-,-,50,0.410,0.420,82,-,-
893,2019-10-13_21-58-08,893,9369,TGL[S],s,-,1.250,-,-,-,70,1.170,1.260,8,-,-
894,2019-10-13_21-58-08,894,7034,TGUAN[S],s,2.820,2.770,0.050,+1.81,2032,80,2.810,2.820,142,2.860,2.750
895,2019-10-13_21-58-08,895,9075,THETA[S],s,0.455,0.470,-0.015,-3.19,122,53,0.450,0.460,5,0.455,0.450
896,2019-10-13_21-58-08,896,7206,THHEAVY[S],s,0.060,0.060,-,-,4550,121200,0.055,0.060,3898,0.060,0.060
897,2019-10-13_21-58-08,897,7206PB,THHEAVY-PB[S],s,-,0.040,-,-,-,500,0.040,0.100,291,-,-
898,2019-10-13_21-58-08,898,5112,THPLANT[S],s,0.310,0.320,-0.010,-3.13,8029,2229,0.310,0.315,199,0.320,0.310
899,2019-10-13_21-58-08,899,7889,THRIVEN[S],s,0.185,0.180,0.005,+2.78,3160,775,0.180,0.185,770,0.185,0.180
900,2019-10-13_21-58-08,900,7889WB,THRIVEN-WB[S],s,0.040,0.030,0.010,+33.33,1,370,0.030,0.040,558,0.040,0.040
